Front,Back,Tag
Session Management,セッション管理,Web
sqlmap,SQLインジェクション自動化ツール,Tools
Nmap,ポートスキャンツール,Tools
Wireshark,パケット解析ツール,Tools
Log,ログ,Tools
Alert,アラート,Tools
Signature,シグネチャ,Tools
Incident,インシデント,Incident Response
Detection,検知,Incident Response
Prevention,予防,Incident Response
Response,対応,Incident Response
Recovery,復旧,Incident Response
Containment,封じ込め,Incident Response
Eradication,根絶,Incident Response
Forensics,フォレンジック,Incident Response
Investigation,調査,Incident Response
Escalation,エスカレーション,Incident Response
Backup,バックアップ,Incident Response
Restore,復元,Incident Response
Evidence,証拠,Incident Response
Timeline,タイムライン,Incident Response
Root Cause,根本原因,Incident Response
Lessons Learned,教訓,Incident Response
Determine,判断する,Exam Verbs
Assess,評価する,Exam Verbs
Analyze,分析する,Exam Verbs
Examine,調査する,Exam Verbs
Identify,特定する,Exam Verbs
Protect,保護する,Exam Verbs
Prevent,防止する,Exam Verbs
Detect,検知する,Exam Verbs
Configure,設定する,Exam Verbs
Implement,実装する,Exam Verbs
Deploy,展開する,Exam Verbs
Monitor,監視する,Exam Verbs
Isolate,隔離する,Exam Verbs
Verify,検証する,Exam Verbs
Support,支援する,Exam Verbs
Retrieve,取得する,Exam Verbs
Enable,有効化する,Exam Verbs
Disable,無効化する,Exam Verbs
Maintain,維持する,Exam Verbs
Require,要求する,Exam Verbs
Provide,提供する,Exam Verbs
Allow,許可する,Exam Verbs
Deny,拒否する,Exam Verbs
Establish,確立する,Exam Verbs
Apply,適用する,Exam Verbs
Ensure,確実にする,Exam Verbs
Reduce,減らす,Exam Verbs
Increase,増加させる,Exam Verbs
Recommend,推奨する,Exam Verbs
