Front,Back,Tag
mobile device encryption policy,モバイルデバイス暗号化ポリシー,Security
full disk encryption,フルディスク暗号化,Security
BitLocker,BitLocker,Windows
information security concept,情報セキュリティ概念,Security
non-repudiation,否認防止,Security
integrity,完全性,Security
confidentiality,機密性,Security
availability,可用性,Security
UDP,UDP,Networking
Layer 4 Transport,レイヤ4 トランスポート層,Networking
risk analysis values,リスク分析値,Risk
Annualized Loss Expectancy,年間損失期待値,Risk
cryptographic keys,暗号鍵,Security
transmitted by hardware,ハードウェアにより送信される,Security
FET transistors,FETトランジスタ,Hardware
entropy levels,エントロピーレベル,Security
secedit.exe,Windowsセキュリティテンプレート適用ツール,Windows
security policies,セキュリティポリシー,Security
Active Directory domain,Active Directoryドメイン,Windows
Windows Server Update Services,WSUS,Windows
Procedure,手順書,General
Standard,標準,General
Policy,ポリシー,General
Guideline,ガイドライン,General
firmware upgrade,ファームウェア更新,ICS
WEP-protected wireless network,WEP保護の無線ネットワーク,Security
brute-force,総当たり攻撃,Security
SSH traffic,SSH通信,Networking
plaintext telnet credentials,平文Telnet認証情報,Security
Project Files,プロジェクトファイル,ICS
Front End Processor,フロントエンドプロセッサ,ICS
Human Machine Interface,ヒューマンマシンインターフェース,ICS
Historian,ヒストリアン,ICS
Programmable Logic Controller,プログラマブルロジックコントローラ,ICS
screen saver,スクリーンセーバー,Windows
local security policy,ローカルセキュリティポリシー,Windows
domain based policy,ドメインベースポリシー,Windows
broadcast traffic,ブロードキャスト通信,Networking
Router,ルーター,Networking
Switch,スイッチ,Networking
Hub,ハブ,Networking
Bridge,ブリッジ,Networking
PERA,Purdue Enterprise Reference Architecture,ICS
site-wide operations,サイト全体の運用,ICS
ultimate responsibility,最終責任,General
integrators,インテグレーター,General
Asset owners,資産所有者,Risk
Government entities,政府機関,General
Vendor partners,ベンダーパートナー,General
sha1sum,SHA1ハッシュ計算コマンド,OS
same contents,同じ内容,General
TLS,TLS／通信暗号化,Security
C-I-A model,機密性・完全性・可用性モデル,Security
DHS patch decision tree,DHSパッチ判断ツリー,Security
vulnerability footprint,脆弱性の影響範囲,Security
work-around available,回避策が利用可能,General
simple proxies,単純なプロキシ,Networking
Active Directory domains,Active Directoryドメイン,Windows
physical security defense,物理セキュリティ防御,Security
hidden cameras,隠しカメラ,Security
audible alarms,可聴アラーム,Security
bright lighting,明るい照明,Security
PowerShell Measure-Object,PowerShellの集計コマンド,Windows
WMI objects,WMIオブジェクト,Windows
Select-String,文字列検索,Windows
unsigned 16-bit integer,符号なし16ビット整数,Programming
USB capture data,USBキャプチャデータ,Tool
Modbus serial data,Modbusシリアルデータ,ICS
leftover capture data,残存キャプチャデータ,Tool
Unit ID,ユニットID,ICS
Read Function,読み取り機能,ICS
Start Address,開始アドレス,ICS
Num to Read,読み取り数,ICS
CRC,巡回冗長検査,Networking
strings command,文字列抽出コマンド,OS
offset,オフセット,OS
grep,文字列検索コマンド,OS
SQL injection login,SQLインジェクションログイン,Security
comment sequence,コメントシーケンス,Programming
password field,パスワード欄,General
Modbus directors,Modbus通信を開始する側,ICS
packet capture,パケットキャプチャ,Tool
openssl,OpenSSL,Tool
sha512 digest,SHA-512ダイジェスト,Security
hmac,鍵付きハッシュ,Security
