Front,Back,Tag
NTP,時刻同期プロトコル,Networking
Stratum 0,NTP階層0／原子時計,Networking
atomic clock,原子時計,Networking
PLC,プログラマブルロジックコントローラ,ICS
polling rate,ポーリングレート,ICS
likelihood,発生可能性,Risk
frequency,頻度,Risk
Quantitative risk assessment,定量的リスク評価,Risk
Qualitative risk assessment,定性的リスク評価,Risk
threat impact,脅威の影響,Risk
loss computation,損失計算,Risk
CIA model,機密性・完全性・可用性モデル,Security
confidentiality,機密性,Security
integrity,完全性,Security
availability,可用性,Security
encryption,暗号化,Security
Culture of Compliance,コンプライアンス文化,General
leadership,リーダーシップ,General
Gap Assessment,ギャップ評価,Risk
RTOS,リアルタイムOS,OS
buffer overflow,バッファオーバーフロー,Security
embedded system firmware,組込みシステムファームウェア,ICS
integrated SIS,統合SIS,ICS
equipment costs,装置コスト,ICS
Microkernel OS,マイクロカーネルOS,OS
IPC,プロセス間通信,OS
virtual memory,仮想メモリ,OS
Server OS,サーバOS,OS
device drivers,デバイスドライバ,OS
file services,ファイルサービス,OS
incident response team,インシデント対応チーム,Security
unauthorized port scans,不正なポートスキャン,Security
network hosts,ネットワークホスト,Networking
worm,ワーム,Security
rootkit,ルートキット,Security
Safe state,安全状態,ICS
Recovery mode,復旧モード,ICS
Fail state,障害状態,ICS
Ready state,準備完了状態,ICS
ACL comparison,ACL比較,Networking
access-list,アクセスリスト,Networking
permit tcp,TCP許可,Networking
telnet,Telnet,Networking
https,HTTPS,Networking
smtp,SMTP,Networking
digital signature,電子署名,Security
non-repudiation,否認防止,Security
effective policy,効果的なポリシー,General
measurable directive,測定可能な指示,General
organizational values,組織の価値観,General
risk and compliance guidance,リスクとコンプライアンスの指針,General
Group Policy Object,グループポリシーオブジェクト,Windows
Organizational Unit,組織単位,Windows
domain,ドメイン,Windows
forest,フォレスト,Windows
log collection,ログ収集,OS
audit,監査,General
baseline image testing,ベースラインイメージ検査,OS
boot sector,ブートセクタ,OS
BIOS,BIOS,OS
OSI model,OSI参照モデル,Networking
Transport layer,トランスポート層,Networking
Presentation layer,プレゼンテーション層,Networking
Network layer,ネットワーク層,Networking
Data Link layer,データリンク層,Networking
transparent ICS firewall,透過型ICSファイアウォール,ICS
controller boundary,コントローラ境界,ICS
local security policies,ローカルセキュリティポリシー,Windows
system owner,システム所有者,General
guideline document,ガイドライン文書,General
standard document,標準文書,General
policy document,ポリシー文書,General
procedure document,手順書,General
